city,climate_zone,building,param,level,u_factor,shgc,annual_heat_mult,annual_cool_mult,peak_heat_mult,peak_cool_mult,annual_heat_MWh,annual_cool_MWh,delta_heat_MWh,delta_cool_MWh,heat_degenerate
buffalo,5A,large_office,shgc_sweep,shgc_040,2.06120838,0.4,0.9736,1.0113,0.9953,1.0116,157.445,4689.737,-4.268,52.197,False
buffalo,5A,large_office,shgc_sweep,shgc_055,2.06120838,0.55,0.8184,1.0893,0.9654,1.0924,132.346,5051.518,-29.367,413.978,False
buffalo,5A,large_office,shgc_sweep,shgc_070,2.06120838,0.7,0.7008,1.1688,0.9385,1.1827,113.331,5420.516,-48.382,782.976,False
buffalo,5A,large_office,u_sweep,u_080,0.8,0.378,0.2704,1.0859,0.8348,1.0018,43.731,5035.812,-117.982,398.272,False
buffalo,5A,large_office,u_sweep,u_140,1.4,0.378,0.565,1.0372,0.9502,0.9987,91.361,4809.951,-70.352,172.411,False
buffalo,5A,large_office,u_sweep,u_270,2.7,0.378,1.4949,0.9699,1.0763,0.9982,241.74,4497.825,80.027,-139.715,False
buffalo,5A,large_office,u_sweep,u_400,4.0,0.378,2.5266,0.9362,1.2077,1.0104,408.579,4341.713,246.866,-295.827,False
buffalo,5A,large_office,u_sweep,u_580,5.8,0.378,3.9177,0.9075,1.3519,1.0277,633.547,4208.422,471.834,-429.118,False
international_falls,7,large_office,shgc_sweep,shgc_020,2.06120838,0.2,1.1982,0.9063,1.0267,0.8852,449.258,4000.944,74.3,-413.486,False
international_falls,7,large_office,shgc_sweep,shgc_030,2.06120838,0.3,1.0786,0.9581,1.0144,0.9499,404.418,4229.376,29.46,-185.054,False
international_falls,7,large_office,shgc_sweep,shgc_040,2.06120838,0.4,0.9799,1.012,0.9945,1.014,367.421,4467.27,-7.537,52.84,False
international_falls,7,large_office,shgc_sweep,shgc_055,2.06120838,0.55,0.8543,1.0954,0.8794,1.1084,320.335,4835.654,-54.623,421.224,False
international_falls,7,large_office,shgc_sweep,shgc_070,2.06120838,0.7,0.7549,1.1809,0.7843,1.2024,283.039,5213.111,-91.919,798.681,False
international_falls,7,large_office,u_sweep,u_080,0.8,0.378,0.2895,1.1023,0.7452,1.0009,108.553,4866.17,-266.405,451.74,False
international_falls,7,large_office,u_sweep,u_140,1.4,0.378,0.597,1.0435,0.9205,0.9977,223.833,4606.615,-151.125,192.185,False
international_falls,7,large_office,u_sweep,u_270,2.7,0.378,1.4196,0.966,1.061,0.9979,532.276,4264.2,157.318,-150.23,False
international_falls,7,large_office,u_sweep,u_400,4.0,0.378,2.2356,0.9278,1.1618,1.0119,838.262,4095.826,463.304,-318.604,False
international_falls,7,large_office,u_sweep,u_580,5.8,0.378,3.2729,0.8964,1.2728,1.0308,1227.195,3956.952,852.237,-457.478,False
