building_type,city,climate_zone,category,variant,variant_description,peak_heat_kW,peak_cool_kW,annual_heat_MWh,annual_cool_MWh,heat_multiplier_vs_baseline,cool_multiplier_vs_baseline
small_office,tampa,2A,Window-to-Wall Ratio,wwr_30pct,30%,3.3,34.5,0.025,45.995,0.892,0.983
small_office,tampa,2A,Window-to-Wall Ratio,wwr_50pct,50%,2.6,39.83,0.026,55.29,0.703,1.134
small_office,tampa,2A,Window-to-Wall Ratio,wwr_70pct,70%,2.99,37.16,0.032,63.809,0.808,1.058
small_office,tampa,2A,Window-to-Wall Ratio,wwr_90pct,90%,3.99,38.52,0.05,69.582,1.078,1.097
small_office,tampa,2A,Glazing Type,glaz_double_pane,Double clear pane (pre-2000),2.09,34.96,0.015,49.959,0.565,0.996
small_office,tucson,2B,Window-to-Wall Ratio,wwr_20pct,20% (baseline),4.16,30.58,0.039,38.987,1.0,1.0
small_office,tucson,2B,Glazing Type,glaz_single_pane,Single pane (pre-1980),4.11,33.53,0.04,54.875,0.988,1.096
small_office,tucson,2B,Glazing Type,glaz_triple_low_e,Triple low-E (post-2010),4.89,29.57,0.043,33.758,1.175,0.967
small_office,tucson,2B,Infiltration,infil_leaky,Leaky (older/poor construction),6.0,31.57,0.064,38.45,1.442,1.032
small_office,tucson,2B,Infiltration,infil_tight,Tight (new construction),2.65,30.12,0.029,39.339,0.637,0.985
small_office,tucson,2B,Window-to-Wall Ratio,wwr_10pct,10%,5.99,29.72,0.056,34.403,1.44,0.972
small_office,tucson,2B,Window-to-Wall Ratio,wwr_30pct,30%,3.12,31.61,0.03,45.394,0.75,1.034
small_office,tucson,2B,Window-to-Wall Ratio,wwr_50pct,50%,3.24,33.64,0.029,56.149,0.779,1.1
small_office,tucson,2B,Window-to-Wall Ratio,wwr_70pct,70%,3.87,37.15,0.038,66.193,0.93,1.215
small_office,tucson,2B,Window-to-Wall Ratio,wwr_90pct,90%,4.84,39.42,0.058,73.41,1.163,1.289
small_office,tucson,2B,Glazing Type,glaz_double_pane,Double clear pane (pre-2000),2.53,34.53,0.012,50.211,0.608,1.129
