county_fips,shallow_soil_class,k_dry_wmpk,k_wmpk,k_sat_wmpk
05071,silt_clay,0.2135,1.2645,1.4488
05075,silt_clay,0.2097,1.1828,1.3536
05077,silt_clay,0.2111,1.3441,1.5429
05083,silt_clay,0.2157,1.244,1.4244
05087,silt_clay,0.2094,1.1766,1.3463
05089,silt_clay,0.2076,1.1779,1.3482
05093,silt_clay,0.2086,1.177,1.3469
05095,silt_clay,0.2151,1.3833,1.5883
05097,silt_clay,0.2155,1.2756,1.4616
05099,silt_clay,0.2169,1.3096,1.5013
05101,silt_clay,0.2115,1.2456,1.427
05103,silt_clay,0.2197,1.3617,1.5621
05105,silt_clay,0.2164,1.21,1.3843
05107,silt_clay,0.213,1.3501,1.5495
05109,silt_clay,0.2124,1.2693,1.4547
05111,silt_clay,0.2098,1.3348,1.5322
05113,silt_clay,0.2184,1.2693,1.4537
05115,silt_clay,0.214,1.2442,1.4249
05119,silt_clay,0.2175,1.1855,1.3553
05121,silt_clay,0.2076,1.1623,1.3298
05123,silt_clay,0.2148,1.3619,1.5631
05125,silt_clay,0.2216,1.2592,1.4412
05127,silt_clay,0.2219,1.2873,1.4742
05129,silt_clay,0.2093,1.2376,1.418
05131,silt_clay,0.2172,1.2054,1.3788
05133,silt_clay,0.2209,1.2777,1.4631
05135,silt_clay,0.2099,1.2213,1.3988
05137,silt_clay,0.2084,1.2219,1.3997
05139,silt_clay,0.2174,1.2998,1.4897
05141,silt_clay,0.2173,1.2809,1.4675
05143,silt_clay,0.2122,1.1794,1.3491
05145,silt_clay,0.2136,1.2064,1.3806
05147,silt_clay,0.2126,1.1705,1.3385
05149,silt_clay,0.2152,1.2595,1.4427
05620,silt_clay,0.2278,1.3518,1.549
05660,silt_clay,0.216,1.3861,1.5914
05670,silt_clay,0.2121,1.2101,1.3852
05680,silt_clay,0.2133,1.3556,1.556
04623,medium_fine_sand,0.2004,1.2777,1.5259
04625,silt_clay,0.1894,1.0544,1.4269
04627,medium_fine_sand,0.2255,1.4167,1.6912
04629,medium_fine_sand,0.1993,1.2972,1.5503
04631,silt_clay,0.2186,1.1671,1.5755
04633,medium_fine_sand,0.1973,1.2384,1.4783
04635,silt_clay,0.1871,1.0366,1.4024
04637,silt_clay,0.1993,1.0631,1.4351
04639,medium_fine_sand,0.2066,1.304,1.5569
04641,silt_clay,0.1812,0.972,1.3126
04643,silt_clay,0.1839,0.9736,1.3136
04645,medium_fine_sand,0.1964,1.253,1.4965
04646,medium_fine_sand,0.197,1.2412,1.4818
04647,medium_fine_sand,0.2409,1.5481,1.8494
04648,medium_fine_sand,0.2393,1.5314,1.8292
04649,medium_fine_sand,0.2046,1.3132,1.5688
04651,silt_clay,0.2051,1.1188,1.5122
04653,medium_fine_sand,0.2052,1.349,1.6127
04655,silt_clay,0.2026,1.0931,1.4765
04656,medium_fine_sand,0.2016,1.284,1.5335
04657,medium_fine_sand,0.2403,1.5125,1.8057
04658,medium_fine_sand,0.2016,1.2933,1.5449
04659,silt_clay,0.1996,1.0992,1.4866
04661,medium_fine_sand,0.2003,1.2729,1.5201
04662,medium_fine_sand,0.1978,1.2423,1.4831
04663,silt_clay,0.1941,1.0711,1.4488
04664,silt_clay,0.2086,1.0987,1.4819
04665,silt_clay,0.193,1.0549,1.426
04666,medium_fine_sand,0.1997,1.2777,1.5261
04667,medium_fine_sand,0.1944,1.2277,1.4659
04668,medium_fine_sand,0.1966,1.2572,1.5017
04669,medium_fine_sand,0.1973,1.2656,1.5118
04671,medium_fine_sand,0.1976,1.2492,1.4916
04673,silt_clay,0.192,1.0357,1.399
04675,silt_clay,0.1953,1.0736,1.4518
04683,silt_clay,0.1837,0.9766,1.318
04687,silt_clay,0.1993,1.0967,1.4831
04691,silt_clay,0.2148,1.1237,1.515
04693,medium_fine_sand,0.2052,1.3042,1.5575
04695,silt_clay,0.2183,1.1165,1.5033
04697,medium_fine_sand,0.2082,1.3369,1.597
04699,silt_clay,0.1954,1.0774,1.4572
04701,silt_clay,0.1915,1.0486,1.4177
04703,medium_fine_sand,0.2331,1.4272,1.7024
04707,medium_fine_sand,0.21,1.4052,1.6807
04711,medium_fine_sand,0.2163,1.512,1.8106
04712,medium_fine_sand,0.2009,1.2805,1.5293
04713,medium_fine_sand,0.2022,1.3376,1.5992
04714,medium_fine_sand,0.2014,1.3544,1.6201
04715,medium_fine_sand,0.2092,1.3436,1.6051
04723,silt_clay,0.2208,1.1731,1.5833
06011,silt_clay,0.2113,0.8029,1.3812
06013,silt_clay,0.1999,0.765,1.3174
06021,silt_clay,0.2103,0.8136,1.4032
06031,silt_clay,0.2167,0.8641,1.4969
06033,silt_clay,0.2161,0.8536,1.4767
06041,silt_clay,0.2084,0.826,1.4296
06053,silt_clay,0.2195,0.8976,1.5605
06055,silt_clay,0.2029,0.7967,1.377
06067,silt_clay,0.2171,0.8645,1.4972
06069,silt_clay,0.2128,0.8536,1.48
06077,silt_clay,0.2113,0.8429,1.4602
06087,silt_clay,0.2003,0.847,1.4792
06095,silt_clay,0.2016,0.7698,1.3252
06097,silt_clay,0.2067,0.8249,1.4291
06101,silt_clay,0.2199,0.8433,1.4526
06113,silt_clay,0.2109,0.7847,1.3457
06600,silt_clay,0.1811,0.7489,1.304
06601,silt_clay,0.1847,0.7681,1.3383
06602,silt_clay,0.1874,0.776,1.3514
06603,silt_clay,0.1901,0.7806,1.3578
06604,silt_clay,0.1638,0.745,1.313
06605,silt_clay,0.1709,0.7286,1.2738
06606,silt_clay,0.2039,0.8432,1.4681
06607,silt_clay,0.1902,0.8144,1.4246
06608,silt_clay,0.1945,0.8237,1.4386
06609,silt_clay,0.2021,0.7727,1.3303
06610,silt_clay,0.2072,0.8912,1.5598
06612,silt_clay,0.2148,0.8589,1.4884
06614,medium_fine_sand,0.1882,1.0232,1.46
06618,silt_clay,0.1964,0.7966,1.3832
06619,silt_clay,0.187,0.7848,1.369
06620,silt_clay,0.2093,0.8476,1.4714
06624,silt_clay,0.1856,0.7953,1.3913
06628,silt_clay,0.2082,0.8542,1.4856
06630,silt_clay,0.1852,0.783,1.3674
06632,silt_clay,0.2118,0.8517,1.4772
06637,silt_clay,0.2106,0.8652,1.505
06638,medium_fine_sand,0.2244,1.1765,1.6746
06641,silt_clay,0.198,0.8232,1.4343
06642,silt_clay,0.2163,0.8537,1.4767
06644,medium_fine_sand,0.2287,1.1536,1.6375
06645,silt_clay,0.1913,0.8068,1.4085
06646,silt_clay,0.2053,0.8289,1.4384
06647,silt_clay,0.215,0.8516,1.4738
06648,medium_fine_sand,0.2344,1.1763,1.6691
06649,silt_clay,0.193,0.7963,1.3859
06651,medium_fine_sand,0.2348,1.2178,1.732
06653,silt_clay,0.213,0.8398,1.4526
06654,medium_fine_sand,0.2315,1.1902,1.6917
06659,silt_clay,0.2228,0.8987,1.5594
06660,medium_fine_sand,0.2075,1.1111,1.5838
06663,medium_fine_sand,0.2228,1.2122,1.7297
06664,silt_clay,0.2208,0.8934,1.5509
06665,silt_clay,0.2191,0.882,1.53
06666,silt_clay,0.224,0.9066,1.5739
06667,silt_clay,0.2266,0.9171,1.5921
06668,medium_fine_sand,0.2343,1.2707,1.8128
06669,medium_fine_sand,0.2424,1.3032,1.8582
06670,medium_fine_sand,0.232,1.24,1.7673
06671,medium_fine_sand,0.2439,1.3374,1.9095
06672,silt_clay,0.2202,0.907,1.5784
06673,silt_clay,0.2134,0.8807,1.5329
06674,silt_clay,0.2215,0.8944,1.552
06675,medium_fine_sand,0.2282,1.1893,1.6921
06676,medium_fine_sand,0.2228,1.1294,1.6037
06677,medium_fine_sand,0.2176,1.1304,1.6078
06678,silt_clay,0.2191,0.8813,1.5286
06679,medium_fine_sand,0.2333,1.2072,1.7166
06680,medium_fine_sand,0.2524,1.4606,2.0926
06681,medium_fine_sand,0.2235,1.2609,1.8036
06682,medium_fine_sand,0.2386,1.3548,1.9387
06683,medium_fine_sand,0.2052,1.116,1.5924
06684,silt_clay,0.1782,0.766,1.3405
06685,silt_clay,0.186,0.7995,1.3992
06686,medium_fine_sand,0.1919,1.0639,1.5201
06687,silt_clay,0.2033,0.8283,1.4391
06688,silt_clay,0.1991,0.773,1.3339
06689,silt_clay,0.2038,0.8269,1.436
06691,medium_fine_sand,0.2298,1.1714,1.6641
06692,silt_clay,0.2187,0.8805,1.5273
06693,medium_fine_sand,0.1936,1.1408,1.6363
06694,silt_clay,0.1928,0.8057,1.4048
06695,medium_fine_sand,0.2284,1.2686,1.8127
06696,silt_clay,0.2209,0.9088,1.5811
06697,medium_fine_sand,0.2444,1.3355,1.9063
06698,medium_fine_sand,0.245,1.3661,1.9526
06699,medium_fine_sand,0.2528,1.4337,2.0515
06701,silt_clay,0.1852,0.7697,1.341
06702,medium_fine_sand,0.1989,1.0604,1.5111
06703,silt_clay,0.182,0.7809,1.3663
06704,,,,
06707,medium_fine_sand,0.193,1.0288,1.466
06708,medium_fine_sand,0.1634,0.9531,1.3663
06709,silt_clay,0.2107,0.8531,1.481
06713,medium_fine_sand,0.1976,1.0636,1.5167
06719,medium_fine_sand,0.1768,0.9734,1.3901
06724,medium_fine_sand,0.1983,1.1461,1.6419
06729,medium_fine_sand,0.1965,1.1111,1.5895
06731,medium_fine_sand,0.1844,1.0168,1.4523
06732,medium_fine_sand,0.2134,1.2347,1.769
06740,medium_fine_sand,0.2034,1.1865,1.7008
06750,medium_fine_sand,0.2082,1.1316,1.6147
06760,medium_fine_sand,0.201,1.1485,1.6442
06763,medium_fine_sand,0.2328,1.256,1.7913
06772,medium_fine_sand,0.2277,1.1603,1.6481
06776,medium_fine_sand,0.2332,1.2214,1.7384
06777,medium_fine_sand,0.2221,1.1924,1.6999
06788,medium_fine_sand,0.2284,1.195,1.7007
06789,medium_fine_sand,0.1468,0.9363,1.3493
06790,medium_fine_sand,0.2374,1.3486,1.9299
06792,medium_fine_sand,0.1882,1.1066,1.587
06793,medium_fine_sand,0.2269,1.2591,1.7991
06794,medium_fine_sand,0.2541,1.4776,2.1177
06795,medium_fine_sand,0.2415,1.3644,1.9518
06796,silt_clay,0.1618,0.6946,1.2154
06802,medium_fine_sand,0.2396,1.3456,1.9242
06803,medium_fine_sand,0.234,1.3424,1.9222
06804,medium_fine_sand,0.2121,1.1665,1.6658
06805,medium_fine_sand,0.2313,1.2675,1.8095
06806,medium_fine_sand,0.239,1.3016,1.8574
08001,medium_fine_sand,0.2261,1.363,1.625
08005,silt_clay,0.2191,1.1373,1.5327
08009,silt_clay,0.2105,1.0625,1.4294
08011,silt_clay,0.2143,1.0658,1.4326
08017,silt_clay,0.2169,1.1361,1.5319
08023,medium_fine_sand,0.188,1.2412,1.484
08025,silt_clay,0.2192,1.152,1.5537
08031,silt_clay,0.2282,1.1833,1.5946
08061,silt_clay,0.2191,1.1258,1.5163
08063,silt_clay,0.1948,1.0052,1.3542
08073,silt_clay,0.21,1.1202,1.5122
08075,medium_fine_sand,0.2139,1.3138,1.5673
08087,medium_fine_sand,0.2244,1.3943,1.6639
08089,silt_clay,0.2165,1.0758,1.4458
08095,medium_fine_sand,0.2201,1.3907,1.6605
08099,silt_clay,0.2038,1.0594,1.4279
08115,medium_fine_sand,0.2079,1.3035,1.556
08121,silt_clay,0.2106,1.1109,1.4986
08125,medium_fine_sand,0.2204,1.3595,1.622
08617,medium_fine_sand,0.2187,1.3688,1.6339
08618,medium_fine_sand,0.2224,1.3662,1.6299
08622,medium_fine_sand,0.2059,1.3415,1.6032
08623,silt_clay,0.207,1.1207,1.5142
08624,silt_clay,0.2171,1.1396,1.5368
08625,medium_fine_sand,0.2188,1.3444,1.6038
08626,silt_clay,0.2126,1.0741,1.4451
08627,silt_clay,0.2017,1.0622,1.4327
08628,silt_clay,0.1934,0.9984,1.3451
08630,medium_fine_sand,0.2063,1.3063,1.5599
08631,medium_fine_sand,0.2102,1.3484,1.6107
08632,medium_fine_sand,0.2205,1.4368,1.7172
08633,medium_fine_sand,0.2053,1.303,1.556
08634,medium_fine_sand,0.2408,1.4739,1.7581
08635,medium_fine_sand,0.1954,1.2897,1.5419
08636,medium_fine_sand,0.1792,1.1879,1.4203
08637,silt_clay,0.1975,1.0676,1.4423
08638,medium_fine_sand,0.1838,1.2198,1.4585
08640,medium_fine_sand,0.1876,1.3077,1.5658
08641,medium_fine_sand,0.2096,1.2895,1.5384
08642,medium_fine_sand,0.1845,1.2707,1.5211
08643,medium_fine_sand,0.2194,1.3431,1.6021
08644,silt_clay,0.2117,1.1259,1.5196
08645,medium_fine_sand,0.1973,1.3007,1.5549
08646,medium_fine_sand,0.1977,1.257,1.5011
08647,medium_fine_sand,0.2166,1.3168,1.5704
08648,silt_clay,0.2111,1.1055,1.4906
08649,silt_clay,0.2007,1.075,1.4515
08650,silt_clay,0.2129,1.1307,1.526
08651,medium_fine_sand,0.183,1.2701,1.5207
08653,medium_fine_sand,0.2102,1.3913,1.6635
08654,silt_clay,0.2165,1.1211,1.5106
08655,silt_clay,0.1972,1.0692,1.4447
08657,medium_fine_sand,0.2212,1.3803,1.6475
08658,medium_fine_sand,0.2125,1.4529,1.7388
08660,silt_clay,0.1923,1.0182,1.3739
08661,medium_fine_sand,0.2257,1.3646,1.6271
08662,silt_clay,0.1899,1.031,1.3933
08663,medium_fine_sand,0.1831,1.1882,1.4198
08664,silt_clay,0.1813,0.9994,1.3517
08666,silt_clay,0.1778,0.9924,1.3432
08668,silt_clay,0.2029,1.0565,1.424
08669,silt_clay,0.1994,1.0543,1.4225
08670,silt_clay,0.2084,1.0981,1.4812
08671,silt_clay,0.1991,1.0398,1.4018
08672,silt_clay,0.183,0.9878,1.3343
08674,silt_clay,0.1867,1.0114,1.3665
08675,silt_clay,0.1843,0.9832,1.3272
08676,silt_clay,0.1987,1.0724,1.4486
08677,silt_clay,0.2015,1.053,1.4197
08679,silt_clay,0.2026,1.0311,1.3878
08680,silt_clay,0.2232,1.1504,1.5497
08682,silt_clay,0.2041,1.0568,1.424
08683,silt_clay,0.192,1.0284,1.3886
08684,silt_clay,0.1669,0.9196,1.2438
08685,silt_clay,0.1914,1.0231,1.3813
08686,silt_clay,0.193,1.0701,1.4477
08690,silt_clay,0.2021,1.0851,1.4653
08692,medium_fine_sand,0.198,1.2622,1.5075
09601,medium_fine_sand,0.2018,1.406,1.5191
09602,medium_fine_sand,0.2077,1.4664,1.5845
11001,medium_fine_sand,0.2261,1.5363,1.6593
10001,medium_fine_sand,0.2328,1.6184,1.7485
10003,medium_fine_sand,0.2278,1.5059,1.6259
10005,medium_fine_sand,0.2272,1.6146,1.7449
12001,medium_fine_sand,0.2353,1.8147,1.963
12003,medium_fine_sand,0.2227,1.8133,1.9627
12005,coarse_sand,0.2961,1.9481,2.0705
12007,medium_fine_sand,0.2198,1.7592,1.9038
12009,coarse_sand,0.3057,1.9934,2.1184
12013,medium_fine_sand,0.2394,1.8071,1.9543
12015,coarse_sand,0.3167,2.0742,2.2044
12017,coarse_sand,0.3009,1.9845,2.1092
12019,coarse_sand,0.2815,1.9024,2.0225
12023,medium_fine_sand,0.2308,1.8691,2.0229
12027,coarse_sand,0.3105,2.0479,2.1766
12029,coarse_sand,0.2738,1.905,2.0258
12031,coarse_sand,0.2786,1.8827,2.0015
12033,medium_fine_sand,0.2319,1.7426,1.8844
12035,coarse_sand,0.3032,2.0154,2.1423
12037,coarse_sand,0.2832,1.8988,2.0185
12039,medium_fine_sand,0.2367,1.8358,1.9859
12041,coarse_sand,0.2904,1.9612,2.0849
12043,coarse_sand,0.3123,2.0573,2.1865
12045,medium_fine_sand,0.2316,1.8207,1.9699
12047,medium_fine_sand,0.2285,1.8346,1.9854
12049,coarse_sand,0.3091,2.0468,2.1755
12051,coarse_sand,0.3074,2.0057,2.1316
12053,medium_fine_sand,0.2353,1.8337,1.9838
12055,coarse_sand,0.3035,2.0429,2.1718
12057,coarse_sand,0.3067,2.041,2.1695
12059,medium_fine_sand,0.2366,1.7834,1.9286
12061,coarse_sand,0.3017,1.9983,2.124
12063,medium_fine_sand,0.235,1.7671,1.911
12065,medium_fine_sand,0.2367,1.8495,2.001
12067,coarse_sand,0.2736,1.8708,1.9891
12071,coarse_sand,0.3165,2.0728,2.2029
12073,medium_fine_sand,0.2416,1.8517,2.0029
12075,coarse_sand,0.2871,1.9123,2.0327
12077,medium_fine_sand,0.2365,1.856,2.0081
12079,medium_fine_sand,0.2412,1.8729,2.0261
12081,coarse_sand,0.2982,2.0023,2.1285
