Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/06  12:00:00,258.880438517,31.5723700947,0.0,0.0,62.886420148,41.4019203762,179.075770406,167.402717621,10.5075,1.16555278463
 02/06  13:00:00,239.715100111,31.5723700947,0.0,0.0,62.886420148,41.4019203762,153.382041313,140.563408006,10.5075,2.31113330709
 02/06  14:00:00,236.250981732,31.5723700947,0.0,0.0,62.886420148,41.4019203762,143.607802139,131.934805093,10.5075,1.16549704519
 02/06  15:00:00,232.312337237,31.5723700947,0.0,0.0,62.886420148,41.4019203762,142.892413521,130.074397507,10.5075,2.31051601451
 02/06  16:00:00,228.772526846,31.5723700947,0.0,0.0,62.886420148,41.4019203762,139.910183507,128.23745538,10.5075,1.16522812648
 02/06  17:00:00,228.453288697,31.5723700947,0.0,0.0,62.886420148,41.4019203762,154.147668609,142.475055242,10.5075,1.16511336782
 02/06  18:00:00,238.025160667,31.5723700947,0.0,0.0,62.886420148,41.4019203762,179.187104589,167.514328597,10.5075,1.16527599181
 02/06  19:00:00,240.474340484,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,197.529341013,187.024332507,9.34,1.16500850587
 02/06  20:00:00,224.201438369,31.5723700947,0.0,0.0,41.9242800987,36.8599292233,212.477475391,201.972646058,9.34,1.16482933292
 02/06  21:00:00,198.99348334,31.5723700947,0.0,0.0,34.9369000822,32.3179380704,224.651776432,215.314364222,8.1725,1.16491220956
 02/06  22:00:00,141.849000843,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,204.593420927,198.758800343,4.67,1.1646205839
 02/06  23:00:00,79.5761914999,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 02/06  24:00:00,115.313095945,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 02/07  01:00:00,84.6145493849,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925621359,0.0,2.335,1.16425621359
 02/07  02:00:00,77.6805523912,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 02/07  03:00:00,91.530272493,13.8839176623,0.0,0.0,3.49369000822,9.08398230582,26.7666096679,24.4116096679,2.335,0.02
 02/07  04:00:00,91.5651790167,13.8839176623,0.0,0.0,3.49369000822,9.08398230582,31.5228037037,28.0235198792,2.335,1.16428382443
 02/07  05:00:00,109.368505928,9.25594510817,0.0,0.0,3.49369000822,9.08398230582,23.9141421767,21.5591421767,2.335,0.02
 02/07  06:00:00,114.28828406,14.3454237984,0.00317160716526,0.0,3.49369000822,9.08398230582,39.9577631854,37.6027631854,2.335,0.02
 02/07  07:00:00,157.438742225,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,429.135317185,423.301042434,4.67,1.16427475109
 02/07  08:00:00,145.493784842,31.5723700947,0.0,0.0,13.9747600329,18.6919646116,397.498402871,392.808402871,4.67,0.02
