Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  21:00:00,128.962013204,6.996125334,0.0,0.0,80.527626,29.818365,198.584178592,186.720131989,3.20568,8.65836660333
 01/02  22:00:00,55.4513633198,0.0,0.0,0.0,15.863942322,29.242365,8.98467949835,0.0,3.20568,5.77899949835
 01/02  23:00:00,55.3493495731,0.0,0.0,0.0,15.863942322,29.242365,8.96742538899,0.0,3.20568,5.76174538899
 01/02  24:00:00,56.1508036818,0.0,0.0,0.0,15.863942322,29.242365,6.09394496918,0.0,3.20568,2.88826496918
 01/03  01:00:00,55.3811646945,0.0,0.0,0.0,15.863942322,29.242365,6.09038492547,0.0,3.20568,2.88470492547
 01/03  02:00:00,55.3837929569,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  03:00:00,55.3776771248,0.0,0.0,0.0,15.863942322,29.242365,6.0903660659,0.0,3.20568,2.8846860659
 01/03  04:00:00,55.3716127673,0.0,0.0,0.0,15.863942322,29.242365,6.09060275737,0.0,3.20568,2.88492275737
 01/03  05:00:00,56.6162602008,0.18526336456,0.0,0.0,15.863942322,29.242365,3.33304897376,0.107368973762,3.20568,0.02
 01/03  06:00:00,57.3510219121,1.09043910531,0.0,0.0,15.863942322,29.242365,6.73283043336,0.642245726199,3.20568,2.88490470716
 01/03  07:00:00,65.63901056,6.996125334,0.00234476047025,0.0,15.863942322,29.818365,414.95890688,408.868342613,3.20568,2.88488426675
 01/03  08:00:00,123.469707208,6.996125334,0.000349293714439,0.0,80.527626,29.818365,319.699918753,313.605059347,3.20568,2.88917940577
 01/03  09:00:00,165.285296988,6.996125334,0.00662943935166,0.0,80.527626,75.0917375,209.298684841,173.674261877,24.0426,11.5818229641
 01/03  10:00:00,164.919485476,6.996125334,0.00257581440715,0.0,80.527626,75.0917375,150.408195497,105.948448913,24.0426,20.4171465844
 01/03  11:00:00,168.89832013,7.03631445246,0.00142653060216,0.0,80.527626,79.0911225,142.153719276,89.6622642106,32.0568,20.4346550651
 01/03  12:00:00,170.386026644,7.76931470438,0.0,0.0,80.527626,79.0911225,130.527171458,75.052697962,32.0568,23.4176734965
 01/03  13:00:00,170.278085506,8.34850262925,0.0,0.0,80.527626,79.0911225,148.0291761,89.56884055,32.0568,26.4035355502
 01/03  14:00:00,166.555489839,8.51373487941,0.0,0.0,80.527626,75.0917375,170.746086059,128.282199522,16.0284,26.435486537
 01/03  15:00:00,166.612689458,8.33722917984,0.0,0.0,80.527626,75.0917375,200.591401751,164.140737683,16.0284,20.4222640676
 01/03  16:00:00,164.281125333,7.72953347532,0.0,0.0,80.527626,73.092045,199.74066255,176.087815191,3.20568,20.4471673594
