Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/20  03:00:00,178.818575316,34.3053216513,77.541799652,0.0,12.7620426787,28.1191506574,98.1348534307,0.498233469644,3.33212,94.3044999611
 05/20  04:00:00,175.60267867,33.4103324509,68.8385171817,0.0,12.7620426787,28.1191506574,133.866486452,0.490495368901,3.33212,130.043871083
 05/20  05:00:00,185.147931526,33.5594973176,71.5152572623,0.0,12.7620426787,28.1191506574,163.56155137,0.414463402416,8.3303,154.816787968
 05/20  06:00:00,273.329602441,35.4688076117,87.6442170199,0.0,42.6918050922,54.3732441037,241.860590205,0.318423942195,16.6606,224.881566263
 05/20  07:00:00,324.621971207,36.9060556455,92.9292090868,0.0,42.6918050922,86.1019271793,419.478082909,12.1915754996,24.9909,382.295607409
 05/20  08:00:00,362.962585066,36.932223727,89.5543262462,0.0,57.6566862989,112.030105488,577.372322873,5.70621933375,33.3212,538.344903539
 05/20  09:00:00,317.205464852,37.3286247086,90.2051054266,0.0,57.6566862989,83.6599452969,456.827990335,2.26118861686,66.8089,387.757901718
 05/20  10:00:00,264.235363655,37.5836090223,90.6446519636,0.0,42.6918050922,68.9656133826,380.896886059,4.1899790699,83.4695,293.237406989
 05/20  11:00:00,258.906566869,37.710844658,92.7217494124,0.0,34.9340096728,67.7198543238,323.875445258,5.24735765013,83.4695,235.158587608
 05/20  12:00:00,256.694051066,37.8003793039,91.4258714151,0.0,34.9340096728,67.7198543238,259.854733487,5.34939512733,83.4695,171.035838359
 05/20  13:00:00,248.614869244,37.6526139907,94.1425812719,0.0,34.9340096728,57.9733543238,251.646929251,5.72231743475,75.1392,170.785411817
 05/20  14:00:00,246.606329571,37.6247104587,92.2220195493,0.0,34.9340096728,57.9733543238,243.062259471,5.71657673159,66.8089,170.53678274
 05/20  15:00:00,248.690720296,37.672058499,93.8048775482,0.0,34.9340096728,57.9733543238,251.322945335,5.647364601,75.1392,170.536380734
 05/20  16:00:00,276.485043713,37.4738656004,93.4979315117,0.0,34.9340096728,62.9068543238,228.424436194,6.09504570473,91.7998,130.529590489
 05/20  17:00:00,303.802125337,36.9873503929,93.523693557,0.0,34.9340096728,72.2186844194,222.275846629,10.0172555819,49.9818,162.276791047
 05/20  18:00:00,369.284463538,37.2251307121,92.5610561406,0.0,87.0357390804,86.2600435998,253.91694115,7.08619638098,49.9818,196.848944769
 05/20  19:00:00,362.698270242,36.9686018848,91.7102161873,0.0,102.000620287,77.6748002752,300.534322119,6.7809384659,33.3212,260.432183654
 05/20  20:00:00,389.430298967,36.8746917117,90.2830519218,0.0,102.000620287,88.9820225341,297.268610597,7.36181030867,33.3212,256.585600288
 05/20  21:00:00,382.248524355,36.9282641175,93.4182267287,0.0,102.000620287,91.6425454185,293.489332761,7.92386224231,24.9909,260.574570519
