Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/17  02:00:00,104.963272099,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/17  03:00:00,104.933772871,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/17  04:00:00,105.412641371,0.0,0.0,0.0,43.513341876,39.243024,13.4505650639,0.0,4.83426,8.61630506388
 07/17  05:00:00,99.3696060334,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/17  06:00:00,361.812005537,72.3412696899,198.490549919,0.0,43.513341876,39.942024,4.86961388746,0.0153538874603,4.83426,0.02
 07/17  07:00:00,457.544284336,73.2512620525,292.558033792,0.0,43.513341876,39.942024,13.4657312155,0.0,4.83426,8.63147121554
 07/17  08:00:00,650.619341383,76.452485082,357.421482217,0.0,122.71106,84.617158233,32.8664899859,0.0,24.1713,8.69518998589
 07/17  09:00:00,688.071717082,77.8124133426,393.219369568,0.0,122.71106,84.617158233,32.8244533395,0.0,24.1713,8.65315333951
 07/17  10:00:00,718.521911847,79.1619516993,417.700864652,0.0,122.71106,88.818015033,44.9093344659,0.0,36.25695,8.65238446593
 07/17  11:00:00,743.476579523,81.0837559888,439.054500277,0.0,122.71106,88.818015033,36.27695,0.0,36.25695,0.02
 07/17  12:00:00,771.919957542,84.3492815007,465.186777147,0.0,122.71106,88.818015033,44.9094411488,0.0,36.25695,8.65249114878
 07/17  13:00:00,771.404955466,87.8107293348,466.230676856,0.0,122.71106,84.617158233,32.8300173695,0.00611840867176,24.1713,8.65259896086
 07/17  14:00:00,782.858467508,92.1511646911,472.408796601,0.0,122.71106,84.617158233,32.8240069517,0.0,24.1713,8.65270695167
 07/17  15:00:00,788.950540434,97.6864083545,479.180782535,0.0,122.71106,78.0003075165,4.85426,0.0,4.83426,0.02
 07/17  16:00:00,793.050551137,100.057374426,486.929820346,0.0,122.71106,73.183824,13.4657369739,0.0,4.83426,8.63147697394
 07/17  17:00:00,730.910237131,93.7043961305,465.909405961,0.0,122.71106,39.942024,4.85426,0.0,4.83426,0.02
 07/17  18:00:00,621.055161564,72.3519286339,375.679162684,0.0,122.71106,39.942024,13.5028872329,0.00990199953002,4.83426,8.65872523337
 07/17  19:00:00,593.263736455,72.3431526991,348.242031803,0.0,122.71106,39.942024,13.5112611808,0.0,4.83426,8.67700118084
 07/17  20:00:00,488.999425296,72.3412696899,312.524819928,0.0,43.513341876,39.942024,13.5003688475,0.0,4.83426,8.66610884753
 07/17  21:00:00,256.951448104,2.83421640603,147.196172616,0.0,43.513341876,39.243024,13.5011396291,0.0,4.83426,8.66687962915
 07/17  22:00:00,276.121855441,2.83359474754,166.5230639,0.0,43.513341876,39.243024,13.471903185,0.0,4.83426,8.63764318497
 07/17  23:00:00,170.58759999,1.06807767481,62.897110738,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/17  24:00:00,172.195048489,1.13302384639,65.3381695796,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/18  01:00:00,105.040803851,0.0,0.0,0.0,43.513341876,39.243024,13.4507043997,0.0,4.83426,8.61644439965
 07/18  02:00:00,104.996505496,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/18  03:00:00,104.972811222,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/18  04:00:00,107.51075409,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/18  05:00:00,101.089459295,0.0,0.0,0.0,43.513341876,39.243024,13.4505563872,0.0,4.83426,8.61629638719
 07/18  06:00:00,378.219775049,72.3412696899,214.551550439,0.0,43.513341876,39.942024,4.86714564735,0.0128856473452,4.83426,0.02
 07/18  07:00:00,458.414708231,72.8997082245,294.619703286,0.0,43.513341876,39.942024,4.85426,0.0,4.83426,0.02
