Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/30  10:00:00,34.7675523699,4.41452535351,0.0,0.0,9.17985065927,19.4245,83.5701585593,45.7699695218,25.0491,12.7510890375
 11/30  11:00:00,42.2737344019,4.41452535351,0.00190016745752,0.0,9.17985065927,26.9147,94.1209919681,41.3741222188,41.7485,10.9983697493
 11/30  12:00:00,43.0355018468,4.41452535351,0.0,0.0,9.17985065927,26.9147,83.6609029747,29.1625957517,41.7485,12.749807223
 11/30  13:00:00,42.3582933313,4.41452535351,0.0,0.0,9.17985065927,26.9147,69.5502827653,16.8029624982,41.7485,10.9988202671
 11/30  14:00:00,34.8325914622,4.41452535351,0.0,0.0,9.17985065927,19.4245,62.744212492,18.9377411804,33.3988,10.4076713117
 11/30  15:00:00,34.8361863343,4.41452535351,0.0,0.0,9.17985065927,19.4245,57.5431948351,24.4054071248,25.0491,8.08868771025
 11/30  16:00:00,34.8279494559,4.41452535351,0.0,0.0,9.17985065927,19.4245,69.5067725146,27.4431082616,33.3988,8.66486425302
 11/30  17:00:00,44.3678327789,4.41452535351,0.00481645427882,0.0,9.17985065927,26.9147,88.6407325716,29.8775574018,50.0982,8.66497516972
 11/30  18:00:00,46.457384231,4.41452535351,0.0,0.0,9.17985065927,26.9147,99.3368501573,38.2388619227,50.0982,10.9997882345
 11/30  19:00:00,46.4463837521,4.41452535351,0.00125885898684,0.0,9.17985065927,26.9147,103.75713131,38.5565075003,50.0982,15.1024238094
 11/30  20:00:00,39.0861818949,4.41452535351,0.0,0.0,9.17985065927,19.4245,90.3690419266,40.1028872302,33.3988,16.8673546964
 11/30  21:00:00,39.0618114961,4.41452535351,0.0,0.0,9.17985065927,19.4245,88.7268022128,41.4027959737,33.3988,13.9252062392
 11/30  22:00:00,38.9902220649,4.41452535351,0.0,0.0,9.17985065927,19.4245,87.2579116187,47.1058281984,25.0491,15.1029834203
 11/30  23:00:00,38.8861164406,4.41452535351,0.0,0.0,9.17985065927,19.4245,77.7426554609,48.2927266482,16.6994,12.7505288127
 11/30  24:00:00,39.6908798727,4.41452535351,0.0,0.0,9.17985065927,19.4245,64.6849295223,49.4065418386,8.3497,6.92868768376
 12/01  01:00:00,22.9480400578,4.41452535351,0.0,0.0,4.58992532963,8.1892,63.5276390314,54.4182590274,3.33988,5.76950000405
 12/01  02:00:00,14.7046475702,0.0,0.0,0.0,1.52997510988,7.4902,3.93197526833,0.0,3.33988,0.59209526833
 12/01  03:00:00,14.7350542528,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 12/01  04:00:00,14.7546996523,0.0,0.0,0.0,1.52997510988,7.4902,3.93196396938,0.0,3.33988,0.592083969378
 12/01  05:00:00,15.4054331638,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 12/01  06:00:00,23.5727503385,4.41452535351,0.0,0.0,4.58992532963,8.1892,64.5465828241,55.6047929744,8.3497,0.592089849731
 12/01  07:00:00,39.2659375285,4.41452535351,0.0125103064041,0.0,9.17985065927,19.4245,66.5270101708,45.7885359187,16.6994,4.03907425209
 12/01  08:00:00,42.2933743095,4.41452535351,0.0121698386094,0.0,9.17985065927,26.9147,72.7537452778,30.8371961727,25.0491,16.8674491051
 12/01  09:00:00,42.3352597483,4.41452535351,0.000754492011206,0.0,9.17985065927,26.9147,67.3860659461,18.3019651868,33.3988,15.6853007592
 12/01  10:00:00,34.9024952557,4.41452535351,0.0,0.0,9.17985065927,19.4245,42.1518827473,4.93096790604,25.0491,12.1718148412
 12/01  11:00:00,42.456387421,4.41452535351,0.00945250974368,0.0,9.17985065927,26.9147,53.3267332234,0.0,41.7485,11.5782332234
 12/01  12:00:00,44.0211082181,4.41452535351,0.802990467402,0.0,9.17985065927,26.9147,53.9196969333,0.0,41.7485,12.1711969333
 12/01  13:00:00,45.8881376788,4.41452535351,3.31286533021,0.0,9.17985065927,26.9147,53.3269063563,0.0,41.7485,11.5784063563
 12/01  14:00:00,36.8063679464,4.41452535351,1.77556864371,0.0,9.17985065927,19.4245,43.2296349549,0.0,33.3988,9.83083495488
 12/01  15:00:00,35.3811636316,4.41452535351,0.356752582979,0.0,9.17985065927,19.4245,33.7149973283,0.0,25.0491,8.66589732834
 12/01  16:00:00,35.0015558759,4.41452535351,0.00907881573584,0.0,9.17985065927,19.4245,41.5025040254,0.0139816956895,33.3988,8.08972232971
 12/01  17:00:00,45.5470162099,4.41452535351,0.00832416131275,0.0,9.17985065927,26.9147,59.6847221953,0.919898335185,50.0982,8.66662386008
 12/01  18:00:00,46.5464820556,4.41452535351,0.0,0.0,9.17985065927,26.9147,70.5047690283,8.82945455621,50.0982,11.577114472
 12/01  19:00:00,46.5153689781,4.41452535351,0.0,0.0,9.17985065927,26.9147,80.26371521,15.0603536995,50.0982,15.1051615105
 12/01  20:00:00,39.0029260761,4.41452535351,0.0,0.0,9.17985065927,19.4245,70.9055672643,20.6395001396,33.3988,16.8672671247
 12/01  21:00:00,38.9799146833,4.41452535351,0.0,0.0,9.17985065927,19.4245,72.1431098415,24.821137808,33.3988,13.9231720334
 12/01  22:00:00,38.9221618163,4.41452535351,0.0,0.0,9.17985065927,19.4245,76.4200528788,36.265781346,25.0491,15.1051715328
 12/01  23:00:00,38.9114201562,4.41452535351,0.0,0.0,9.17985065927,19.4245,69.6600085307,40.2111754579,16.6994,12.7494330727
 12/01  24:00:00,39.6920334378,4.41452535351,0.0,0.0,9.17985065927,19.4245,62.1587404728,46.8809906255,8.3497,6.92804984727
 12/02  01:00:00,22.9384860872,4.41452535351,0.00168058687713,0.0,4.58992532963,8.1892,67.2553185941,58.1461077102,3.33988,5.76933088386
